dco,detloc,latitude,longitude,count
DEN,DENHOLD,39.783559,-104.848808,1
VRK,VRK,40.728432,-74.005437,13
HOU,HOUHOLD,29.95204,-95.312044,21
HLG,HLGHOLD,26.2002,-97.71681,21
BUF,BUFHOLD,42.887987,-78.877725,1
PHI,PHIHOLD,39.960012,-75.165295,5
POO,POOHOLD,45.515284,-122.676087,4
SNA,SNAHOLD,29.522121,-98.391956,13
WAS,WASHOLD,38.880675,-77.229338,6
SFR,SFRHOLD,37.796455,-122.401714,7
DAL,DALHOLD,32.82514,-96.87117,6
DLR,DLRHOLD,29.39471,-100.899887,1
MIA,MIAHOLD,25.925868,-80.153735,17
LOS,LOSHOLD,33.750491,-118.296675,7
DET,DETHOLD,42.343346,-83.009676,6
KRO,KRO,25.75506,-80.437893,2
SEA,SEAHOLD,47.492384,-122.292496,9
PHO,PHOHOLD,33.470625,-112.073702,22
CHI,CHIHOLD,41.896627,-87.631811,16
EPC,EPC,31.793411,-106.369373,3
BOS,BOSHOLD,42.48526,-71.211469,2
SLC,SLCHOLD,40.705141,-111.869687,1
SND,SNDHOLD,32.992938,-117.162631,2
BAL,BALHOLD,39.256226,-76.683357,4
TAM,TAMHOLD,27.92485,-82.379447,1
NEW,NEWHOLD,39.671492,-75.714329,2
NYC,NYCHOLD,40.714936,-74.003227,5
ELP,ELPHOLD,31.793411,-106.369373,4
OKC,OKCHOLD,35.424242,-97.59675,1
PIT,PHOHOLD,33.470625,-112.073702,1
ATL,ATLANGA,33.747549,-84.39569,2
HAR,HARHOLD,35.018129,-94.389464,1
